definition_kind,definition_id,definition_name,prerequisite_status,effect_coverage,automation_level,needs_review,source_id,source_page
poke_edge,attack-conflict,Attack Conflict,full,manual,manual_text,False,core,204
poke_edge,aura-pulse,Aura Pulse,partial,manual,hybrid,False,core,205
poke_edge,basic-ranged-attacks,Basic Ranged Attacks,partial,partial,hybrid,False,core,205
poke_edge,capability-training,Capability Training,full,manual,manual_text,False,core,205
poke_edge,enticing-bait,Enticing Bait,full,manual,manual_text,False,core,205
poke_edge,extended-invisibility,Extended Invisibility,full,manual,manual_text,False,core,205
poke_edge,far-reading,Far Reading,full,manual,manual_text,False,core,205
poke_edge,mixed-sweeper,Mixed Sweeper,partial,manual,hybrid,False,core,204
poke_edge,precise-threadings,Precise Threadings,full,manual,manual_text,False,core,205
poke_edge,realized-potential,Realized Potential,partial,manual,hybrid,False,core,204
poke_edge,seismometer,Seismometer,full,manual,manual_text,False,core,205
poke_edge,skill-improvement,Skill Improvement,full,manual,manual_text,False,core,204
poke_edge,tk-mastery,TK Mastery,full,manual,manual_text,False,core,205
poke_edge,trail-sniffer,Trail Sniffer,full,manual,manual_text,False,core,205
poke_edge,underdogs-lessons,Underdog's Lessons,manual,manual,manual_text,False,core,205
poke_edge,underdogs-strength,Underdog's Strength,partial,manual,hybrid,False,core,204
feature,branded,Branded,full,manual,manual_text,False,blessed,50
feature,gift-of-command,Gift of Command,manual,none,metadata_only,True,blessed,53
feature,giftsapper,Giftsapper,full,manual,manual_text,False,blessed,54
feature,symbolsight,Symbolsight,full,none,metadata_only,True,blessed,54
feature,blessed-power,Blessed Power,manual,none,metadata_only,True,blessed,55
feature,blessed-resilience,Blessed Resilience,full,none,metadata_only,True,blessed,56
feature,insight-of-the-great-ones,Insight of the Great Ones,manual,none,metadata_only,True,blessed,56
feature,luck-of-the-gods,Luck of the Gods,manual,none,metadata_only,True,blessed,55
feature,soul-mending,Soul Mending,manual,none,metadata_only,True,blessed,55
feature,articunos-major-gift-winters-kiss,Articuno's Major Gift - Winter's Kiss,full,full,machine_ready,False,blessed,58
feature,azelfs-major-gift-drain-will,Azelf's Major Gift - Drain Will,manual,manual,manual_text,False,blessed,60
feature,azelfs-minor-gift-force-of-will,Azelf's Minor Gift - Force of Will,full,manual,manual_text,False,blessed,59
feature,cresselias-major-gift-dreamspinner,Cresselia's Major Gift - Dreamspinner,full,full,machine_ready,False,blessed,65
feature,cresselias-pact-gift-lunar-dance,Cresselia's Pact Gift - Lunar Dance,manual,full,hybrid,False,blessed,65
feature,darkrais-major-gift-bad-dreams,Darkrai's Major Gift - Bad Dreams,full,full,machine_ready,False,blessed,65
feature,darkrais-pact-gift-dark-void,Darkrai's Pact Gift - Dark Void,manual,full,hybrid,False,blessed,65
feature,dialgas-major-gift-probability-control,Dialga's Major Gift - Probability Control,manual,full,hybrid,False,blessed,64
feature,dialgas-major-gift-time-stop,Dialga's Major Gift - Time Stop,full,manual,manual_text,False,blessed,64
feature,dialgas-minor-gift-perfect-timing,Dialga's Minor Gift - Perfect Timing,full,manual,manual_text,False,blessed,64
feature,dialgas-pact-gift-roar-of-time,Dialga's Pact Gift - Roar of Time,manual,full,hybrid,False,blessed,64
feature,enteis-major-gift-flash-fire,Entei's Major Gift - Flash Fire,full,full,machine_ready,False,blessed,58
feature,giratinas-major-gift-banish,Giratina's Major Gift - Banish,full,manual,manual_text,False,blessed,64
feature,giratinas-major-gift-pressure,Giratina's Major Gift - Pressure,manual,full,hybrid,False,blessed,64
feature,giratinas-minor-gift-death-sense,Giratina's Minor Gift - Death Sense,full,manual,manual_text,False,blessed,64
feature,giratinas-pact-gift-shadow-force,Giratina's Pact Gift - Shadow Force,manual,full,hybrid,False,blessed,64
feature,groudons-major-gift-drought,Groudon's Major Gift - Drought,manual,full,hybrid,False,blessed,63
feature,groudons-major-gift-earthshaker,Groudon's Major Gift - Earthshaker,manual,full,hybrid,False,blessed,63
feature,groudons-major-gift-magma-spirit,Groudon's Major Gift - Magma Spirit,manual,manual,manual_text,False,blessed,63
feature,groudons-minor-gift-landmaster,Groudon's Minor Gift - Landmaster,full,manual,manual_text,False,blessed,63
feature,groudons-pact-gift-eruption,Groudon's Pact Gift - Eruption,manual,full,hybrid,False,blessed,63
feature,ho-ohs-major-gift-ashes-of-the-phoenix,Ho-oh's Major Gift - Ashes of the Phoenix,full,manual,manual_text,False,blessed,62
feature,ho-ohs-pact-gift-sacred-fire,Ho-oh's Pact Gift - Sacred Fire,manual,full,hybrid,False,blessed,62
feature,kyogres-major-gift-aqua-spirit,Kyogre's Major Gift - Aqua Spirit,manual,manual,manual_text,False,blessed,63
feature,kyogres-major-gift-drizzle,Kyogre's Major Gift - Drizzle,manual,full,hybrid,False,blessed,63
feature,kyogres-major-gift-wavecrasher,Kyogre's Major Gift - Wavecrasher,manual,full,hybrid,False,blessed,63
feature,kyogres-minor-gift-seamaster,Kyogre's Minor Gift - Seamaster,full,manual,manual_text,False,blessed,63
feature,kyogres-pact-gift-water-spout,Kyogre's Pact Gift - Water Spout,manual,full,hybrid,False,blessed,63
feature,kyurems-major-gift-the-empty-tao,Kyurem's Major Gift - The Empty Tao,manual,manual,manual_text,False,blessed,67
feature,kyurems-major-gift-winters-kiss,Kyurem's Major Gift - Winter's Kiss,manual,full,hybrid,False,blessed,67
feature,kyurems-minor-gift-hero-of-balance,Kyurem's Minor Gift - Hero of Balance,full,manual,manual_text,False,blessed,67
feature,kyurems-pact-gift-freeze-shock,Kyurem's Pact Gift - Freeze Shock,manual,full,hybrid,False,blessed,67
feature,kyurems-pact-gift-glaciate,Kyurem's Pact Gift - Glaciate,manual,full,hybrid,False,blessed,67
feature,kyurems-pact-gift-ice-burn,Kyurem's Pact Gift - Ice Burn,manual,full,hybrid,False,blessed,67
feature,latiass-major-gift-mist-ball,Latias's Major Gift - Mist Ball,full,full,machine_ready,False,blessed,59
feature,latioss-major-gift-luster-purge,Latios's Major Gift - Luster Purge,full,full,machine_ready,False,blessed,59
feature,lugias-major-gift-storm-of-the-century,Lugia's Major Gift - Storm of the Century,full,manual,manual_text,False,blessed,62
feature,lugias-pact-gift-aeroblast,Lugia's Pact Gift - Aeroblast,manual,full,hybrid,False,blessed,62
feature,major-gift-amorphous,Major Gift - Amorphous,full,full,machine_ready,False,blessed,69
feature,major-gift-animate,Major Gift - Animate,full,manual,manual_text,False,blessed,66
feature,major-gift-aura-break,Major Gift - Aura Break,full,full,machine_ready,False,blessed,68
feature,major-gift-barrier,Major Gift - Barrier,full,full,machine_ready,False,blessed,62
feature,major-gift-blaze-armor,Major Gift - Blaze Armor,full,manual,manual_text,False,blessed,66
feature,major-gift-clear-body,Major Gift - Clear Body,full,full,machine_ready,False,blessed,59
feature,major-gift-corrupt-existence,Major Gift - Corrupt Existence,full,manual,manual_text,False,blessed,70
feature,major-gift-courage,Major Gift - Courage,full,full,machine_ready,False,blessed,61
feature,major-gift-dead-zone,Major Gift - Dead Zone,full,manual,manual_text,False,blessed,70
feature,major-gift-diamond-storm,Major Gift - Diamond Storm,full,full,machine_ready,False,blessed,61
feature,major-gift-doom-desire,Major Gift - Doom Desire,full,full,machine_ready,False,blessed,59
feature,major-gift-dream-augury,Major Gift - Dream Augury,full,manual,manual_text,False,blessed,65
feature,major-gift-elemental-manipulation,Major Gift - Elemental Manipulation,full,manual,manual_text,False,blessed,58
feature,major-gift-expanded-horizons,Major Gift - Expanded Horizons,full,manual,manual_text,False,blessed,69
feature,major-gift-eye-of-truth,Major Gift - Eye of Truth,full,manual,manual_text,False,blessed,59
feature,major-gift-gentle-vibe,Major Gift - Gentle Vibe,full,full,machine_ready,False,blessed,62
feature,major-gift-glitch-message,Major Gift - Glitch Message,full,manual,manual_text,False,blessed,70
feature,major-gift-god-crusher,Major Gift - God Crusher,full,manual,manual_text,False,blessed,68
feature,major-gift-he-who-cannot-be-shackled,Major Gift - He Who Cannot Be Shackled,full,manual,manual_text,False,blessed,68
feature,major-gift-hydration,Major Gift - Hydration,full,full,machine_ready,False,blessed,60
feature,major-gift-invert-balance,Major Gift - Invert Balance,manual,manual,manual_text,False,blessed,66
feature,major-gift-knight-of-the-fallen-god,Major Gift - Knight of the Fallen God,full,manual,manual_text,False,blessed,70
feature,major-gift-lava-blooded,Major Gift - Lava-blooded,full,none,metadata_only,True,blessed,65
feature,major-gift-levitate,Major Gift - Levitate,full,full,machine_ready,False,blessed,61
feature,major-gift-life-force,Major Gift - Life Force,manual,full,hybrid,False,blessed,62
feature,major-gift-magic-bounce,Major Gift - Magic Bounce,full,full,machine_ready,False,blessed,61
feature,major-gift-magma-armor,Major Gift - Magma Armor,full,full,machine_ready,False,blessed,65
feature,major-gift-march-of-the-colossus,Major Gift - March of the Colossus,full,manual,manual_text,False,blessed,66
feature,major-gift-mark-of-loyalty,Major Gift - Mark of Loyalty,full,manual,manual_text,False,blessed,59
feature,major-gift-mental-suggestion,Major Gift - Mental Suggestion,full,manual,manual_text,False,blessed,69
feature,major-gift-mind-lock,Major Gift - Mind Lock,full,full,machine_ready,False,blessed,69
feature,major-gift-mirage,Major Gift - Mirage,full,manual,manual_text,False,blessed,62
feature,major-gift-oneiromancy,Major Gift - Oneiromancy,full,full,machine_ready,False,blessed,65
feature,major-gift-phasing,Major Gift - Phasing,full,full,machine_ready,False,blessed,69
feature,major-gift-primal-craftsmanship,Major Gift - Primal Craftsmanship,full,manual,manual_text,False,blessed,66
feature,major-gift-probability-control,Major Gift - Probability Control,full,full,machine_ready,False,blessed,59
feature,major-gift-pure-breathing,Major Gift - Pure Breathing,full,manual,manual_text,False,blessed,60
feature,major-gift-realm-portal,Major Gift - Realm Portal,manual,manual,manual_text,False,blessed,64
feature,major-gift-relic-song,Major Gift - Relic Song,full,full,machine_ready,False,blessed,61
feature,major-gift-sacred-sword,Major Gift - Sacred Sword,full,full,machine_ready,False,blessed,61
feature,major-gift-searing-blade,Major Gift - Searing Blade,full,manual,manual_text,False,blessed,66
feature,major-gift-seed-flare,Major Gift - Seed Flare,full,full,machine_ready,False,blessed,60
feature,major-gift-shared-mortality,Major Gift - Shared Mortality,manual,manual,manual_text,False,blessed,67
feature,major-gift-sight-sharing,Major Gift - Sight Sharing,partial,manual,hybrid,False,blessed,59
feature,major-gift-soundproof,Major Gift - Soundproof,manual,full,hybrid,False,blessed,61
feature,major-gift-sprouter,Major Gift - Sprouter,full,full,machine_ready,True,blessed,59
feature,major-gift-storm-of-the-fallen-world,Major Gift - Storm of the Fallen World,full,manual,manual_text,False,blessed,70
feature,major-gift-therian-form,Major Gift - Therian Form,full,manual,manual_text,False,blessed,61
feature,major-gift-towers-blessing,Major Gift - Tower's Blessing,full,manual,manual_text,False,blessed,62
feature,major-gift-tremorsense,Major Gift - Tremorsense,full,full,machine_ready,False,blessed,65
feature,major-gift-victory-star,Major Gift - Victory Star,full,full,machine_ready,False,blessed,66
feature,manaphys-major-gift-heart-swap,Manaphy's Major Gift - Heart Swap,full,full,machine_ready,False,blessed,60
feature,mesprits-major-gift-negate-emotion,Mesprit's Major Gift - Negate Emotion,manual,manual,manual_text,False,blessed,60
feature,mesprits-minor-gift-emotions-heart,Mesprit's Minor Gift - Emotion's Heart,full,manual,manual_text,False,blessed,60
feature,minor-gift-alien-countenance,Minor Gift - Alien Countenance,full,partial,hybrid,False,blessed,69
feature,minor-gift-catastrophe-sense,Minor Gift - Catastrophe Sense,full,manual,manual_text,False,blessed,59
feature,minor-gift-chosen-of-victory,Minor Gift - Chosen of Victory,full,manual,manual_text,False,blessed,66
feature,minor-gift-cloud-reading,Minor Gift - Cloud Reading,full,full,machine_ready,False,blessed,61
feature,minor-gift-dazzling-the-stage,Minor Gift - Dazzling the Stage,full,manual,manual_text,False,blessed,61
feature,minor-gift-detect-heretic,Minor Gift - Detect Heretic,full,manual,manual_text,False,blessed,70
feature,minor-gift-dream-mastery,Minor Gift - Dream Mastery,full,manual,manual_text,False,blessed,65
feature,minor-gift-elemental-soul,Minor Gift - Elemental Soul,full,manual,manual_text,False,blessed,58
feature,minor-gift-hands-of-the-creator,Minor Gift - Hands of the Creator,full,manual,manual_text,False,blessed,65
feature,minor-gift-intuitive-sabotage,Minor Gift - Intuitive Sabotage,full,manual,manual_text,False,blessed,70
feature,minor-gift-loyal-heart,Minor Gift - Loyal Heart,full,manual,manual_text,False,blessed,59
feature,minor-gift-motherly-compassion,Minor Gift - Motherly Compassion,full,manual,manual_text,False,blessed,62
feature,minor-gift-plant-intuition,Minor Gift - Plant Intuition,full,manual,manual_text,False,blessed,60
feature,minor-gift-royal-privilege,Minor Gift - Royal Privilege,full,manual,manual_text,False,blessed,61
feature,minor-gift-sailors-guardian,Minor Gift - Sailors' Guardian,full,manual,manual_text,False,blessed,60
feature,minor-gift-spirit-of-justice,Minor Gift - Spirit of Justice,full,manual,manual_text,False,blessed,61
feature,minor-gift-stoic-stature,Minor Gift - Stoic Stature,full,manual,manual_text,False,blessed,59
feature,minor-gift-towers-rejuvenation,Minor Gift - Tower's Rejuvenation,full,manual,manual_text,False,blessed,62
feature,minor-gift-twin-souls,Minor Gift - Twin Souls,full,manual,manual_text,False,blessed,69
feature,minor-gift-vulcans-intuition,Minor Gift - Vulcan's Intuition,full,manual,manual_text,False,blessed,65
feature,minor-gift-watchful-sleep,Minor Gift - Watchful Sleep,full,manual,manual_text,False,blessed,59
feature,minor-gift-world-serpents-embrace,Minor Gift - World Serpent's Embrace,full,manual,manual_text,False,blessed,68
feature,moltress-major-gift-sun-blanket,Moltres's Major Gift - Sun Blanket,full,full,machine_ready,False,blessed,58
feature,pact-gift-crush-grip,Pact Gift - Crush Grip,manual,full,hybrid,False,blessed,66
feature,pact-gift-hypergeometry,Pact Gift - Hypergeometry,manual,none,metadata_only,True,blessed,69
feature,pact-gift-lands-wrath,Pact Gift - Land's Wrath,manual,full,hybrid,False,blessed,68
feature,pact-gift-magma-storm,Pact Gift - Magma Storm,manual,full,hybrid,False,blessed,65
feature,pact-gift-origin-tutor,Pact Gift - Origin Tutor,manual,manual,manual_text,False,blessed,62
feature,pact-gift-psystrike,Pact Gift - Psystrike,manual,full,hybrid,False,blessed,69
feature,pact-gift-slayer-of-the-false-gods,Pact Gift - Slayer of the False Gods,manual,manual,manual_text,False,blessed,70
feature,pact-gift-v-create,Pact Gift - V-Create,manual,full,hybrid,False,blessed,66
feature,palkias-major-gift-nomad,Palkia's Major Gift - Nomad,manual,partial,hybrid,False,blessed,64
feature,palkias-major-gift-space-distortion,Palkia's Major Gift - Space Distortion,full,manual,manual_text,False,blessed,64
feature,palkias-minor-gift-spatial-awareness,Palkia's Minor Gift - Spatial Awareness,full,manual,manual_text,False,blessed,64
feature,palkias-pact-gift-spacial-rend,Palkia's Pact Gift - Spacial Rend,manual,full,hybrid,False,blessed,64
feature,raikous-major-gift-volt-absorb,Raikou's Major Gift - Volt Absorb,full,full,machine_ready,False,blessed,58
feature,rayquazas-major-gift-air-adept,Rayquaza's Major Gift - Air Adept,manual,full,hybrid,False,blessed,63
feature,rayquazas-major-gift-air-lock,Rayquaza's Major Gift - Air Lock,manual,full,hybrid,False,blessed,63
feature,rayquazas-major-gift-sky-spirit,Rayquaza's Major Gift - Sky Spirit,manual,manual,manual_text,False,blessed,63
feature,rayquazas-minor-gift-clear-skies,Rayquaza's Minor Gift - Clear Skies,full,full,machine_ready,False,blessed,63
feature,rayquazas-pact-gift-hyper-beam,Rayquaza's Pact Gift - Hyper Beam,manual,full,hybrid,False,blessed,64
feature,reshirams-major-gift-turboblaze,Reshiram's Major Gift - Turboblaze,manual,full,hybrid,False,blessed,67
feature,reshirams-major-gift-white-yang,Reshiram's Major Gift - White Yang,manual,manual,manual_text,False,blessed,67
feature,reshirams-minor-gift-hero-of-truth,Reshiram's Minor Gift - Hero of Truth,full,manual,manual_text,False,blessed,66
feature,reshirams-pact-gift-blue-flare,Reshiram's Pact Gift - Blue Flare,manual,full,hybrid,False,blessed,67
feature,suicunes-major-gift-water-absorb,Suicune's Major Gift - Water Absorb,full,full,machine_ready,False,blessed,58
feature,uxies-major-gift-shatter-memory,Uxie's Major Gift - Shatter Memory,manual,manual,manual_text,False,blessed,60
feature,uxies-minor-gift-fount-of-knowledge,Uxie's Minor Gift - Fount of Knowledge,full,manual,manual_text,False,blessed,60
feature,xerneass-major-gift-bounty-of-life,Xerneas's Major Gift - Bounty of Life,manual,manual,manual_text,False,blessed,68
feature,xerneass-major-gift-fairy-aura,Xerneas's Major Gift - Fairy Aura,manual,full,hybrid,False,blessed,68
feature,xerneass-minor-gift-rejuvenating-aura,Xerneas's Minor Gift - Rejuvenating Aura,full,manual,manual_text,False,blessed,68
feature,xerneass-pact-gift-geomancy,Xerneas's Pact Gift - Geomancy,manual,full,hybrid,False,blessed,68
feature,yveltals-major-gift-dark-aura,Yveltal's Major Gift - Dark Aura,manual,full,hybrid,False,blessed,68
feature,yveltals-major-gift-touch-of-the-flayed-one,Yveltal's Major Gift - Touch of the Flayed One,manual,manual,manual_text,False,blessed,68
feature,yveltals-minor-gift-death-dealer,Yveltal's Minor Gift - Death Dealer,full,manual,manual_text,False,blessed,68
feature,yveltals-pact-gift-oblivion-wing,Yveltal's Pact Gift - Oblivion Wing,manual,full,hybrid,False,blessed,68
feature,zapdoss-major-gift-lightningrod,Zapdos's Major Gift - Lightningrod,full,full,machine_ready,False,blessed,58
feature,zekroms-major-gift-black-yin,Zekrom's Major Gift - Black Yin,manual,manual,manual_text,False,blessed,67
feature,zekroms-major-gift-teravolt,Zekrom's Major Gift - Teravolt,manual,full,hybrid,False,blessed,67
feature,zekroms-minor-gift-hero-of-ideals,Zekrom's Minor Gift - Hero of Ideals,full,manual,manual_text,False,blessed,67
feature,zekroms-pact-gift-bolt-strike,Zekrom's Pact Gift - Bolt Strike,manual,full,hybrid,False,blessed,67
feature,in-my-name,In My Name,partial,manual,hybrid,False,blessed,48
feature,messiah,Messiah,full,manual,manual_text,False,blessed,48
feature,sign-mastery,Sign Mastery,partial,manual,hybrid,False,blessed,46
feature,signer,Signer,full,manual,manual_text,False,blessed,46
feature,major-gift,Major Gift,full,manual,manual_text,False,blessed,45
feature,pact-gift,Pact Gift,manual,manual,manual_text,False,blessed,45
feature,soulbound,Soulbound,full,manual,manual_text,False,blessed,45
feature,touched,Touched,full,manual,manual_text,False,blessed,45
feature,gift-of-power,Gift of Power,full,manual,manual_text,False,blessed,52
feature,shared-strengths,Shared Strengths,partial,none,hybrid,True,blessed,52
feature,true-power,True Power,manual,manual,manual_text,False,blessed,52
feature,usurper,Usurper,manual,manual,manual_text,False,blessed,52
feature,ace-conjurer,Ace Conjurer,full,manual,manual_text,False,classes_extra,2
feature,conjurer,Conjurer,partial,manual,hybrid,False,classes_extra,2
feature,critical-buff,Critical Buff,manual,manual,manual_text,False,classes_extra,6
feature,enhancer,Enhancer,full,manual,manual_text,False,classes_extra,5
feature,grimoire,Grimoire,full,manual,manual_text,False,classes_extra,2
feature,hidden-armor,Hidden Armor,full,manual,manual_text,False,classes_extra,2
feature,hidden-coat,Hidden Coat,manual,manual,manual_text,False,classes_extra,5
feature,hidden-weapon,Hidden Weapon,full,manual,manual_text,False,classes_extra,2
feature,legendary-conjure,Legendary Conjure,full,manual,manual_text,False,classes_extra,2
feature,power-enhance,Power Enhance,full,full,machine_ready,False,classes_extra,5
feature,resolve-boost,Resolve Boost,manual,manual,manual_text,False,classes_extra,6
feature,secret-garden,Secret Garden,partial,manual,hybrid,False,classes_extra,5
feature,type-mastery,Type Mastery,full,manual,hybrid,False,classes_extra,2
feature,agility-training,Agility Training,full,manual,manual_text,False,core,60
feature,blur,Blur,full,manual,manual_text,False,core,63
feature,brace-for-impact,Brace for Impact,none,manual,manual_text,False,core,62
feature,brutal-training,Brutal Training,full,manual,manual_text,False,core,60
feature,capricious-whirl,Capricious Whirl,none,manual,manual_text,False,core,62
feature,command-versatility,Command Versatility,partial,manual,hybrid,False,core,59
feature,commanders-voice,Commander's Voice,full,manual,manual_text,False,core,60
feature,dazzling-dervish,Dazzling Dervish,none,manual,manual_text,False,core,62
feature,defender,Defender,full,manual,manual_text,False,core,63
feature,dive,Dive,full,manual,hybrid,False,core,63
feature,fighters-versatility,Fighter's Versatility,manual,manual,manual_text,False,core,63
feature,first-aid-expertise,First Aid Expertise,full,manual,manual_text,False,core,64
feature,focused-command,Focused Command,partial,manual,hybrid,False,core,60
feature,focused-training,Focused Training,full,partial,hybrid,False,core,60
feature,guardian-orders,Guardian Orders,full,manual,manual_text,False,core,62
feature,inspired-training,Inspired Training,full,partial,hybrid,False,core,60
feature,let-me-help-you-with-that,Let Me Help You With That,full,manual,manual_text,False,core,64
feature,long-shot,Long Shot,none,manual,manual_text,False,core,61
feature,marksman-orders,Marksman Orders,full,manual,manual_text,False,core,61
feature,multi-tasking,Multi-Tasking,partial,manual,hybrid,False,core,63
feature,perfect-aim,Perfect Aim,none,manual,manual_text,False,core,62
feature,pinpoint-strike,Pinpoint Strike,none,manual,manual_text,False,core,62
feature,poke-ball-crafter,Poké Ball Crafter,partial,manual,hybrid,False,core,64
feature,pokemaniac,PokéManiac,full,manual,manual_text,False,core,64
feature,precision-orders,Precision Orders,full,manual,manual_text,False,core,62
feature,press,Press,full,manual,manual_text,False,core,59
feature,psionic-sight,Psionic Sight,full,manual,manual_text,False,core,64
feature,quick-switch,Quick Switch,full,manual,manual_text,False,core,59
feature,ravager-orders,Ravager Orders,full,manual,manual_text,False,core,61
feature,reckless-advance,Reckless Advance,none,partial,hybrid,False,core,61
feature,sentinel-stance,Sentinel Stance,none,manual,manual_text,False,core,62
feature,signature-move,Signature Move,manual,manual,manual_text,False,core,63
feature,skill-monkey,Skill Monkey,partial,manual,hybrid,False,core,64
feature,species-savant,Species Savant,manual,manual,manual_text,False,core,59
feature,strike-again,Strike Again!,none,manual,manual_text,False,core,61
feature,trick-shot,Trick Shot,none,manual,manual_text,False,core,61
feature,trickster-orders,Trickster Orders,full,manual,manual_text,False,core,62
feature,tutoring,Tutoring,partial,manual,hybrid,False,core,59
feature,type-expertise,Type Expertise,none,manual,manual_text,False,core,63
feature,walk-it-off,Walk It Off,full,manual,manual_text,False,core,63
feature,ace-trainer,Ace Trainer,full,manual,manual_text,False,core,75
feature,champ-in-the-making,Champ in the Making,full,manual,manual_text,False,core,75
feature,critical-moment,Critical Moment,full,manual,manual_text,False,core,75
feature,elite-trainer,Elite Trainer,full,manual,manual_text,False,core,75
feature,perseverance,Perseverance,full,manual,manual_text,False,core,75
feature,signature-technique,Signature Technique,full,manual,manual_text,False,core,75
feature,top-percentage,Top Percentage,full,manual,manual_text,False,core,75
feature,adrenaline-rush,Adrenaline Rush,partial,manual,hybrid,False,core,155
feature,athlete,Athlete,partial,manual,hybrid,False,core,155
feature,athletic-moves,Athletic Moves,partial,manual,hybrid,False,core,155
feature,coaching,Coaching,full,manual,manual_text,False,core,155
feature,training-regime,Training Regime,manual,manual,manual_text,False,core,155
feature,ambient-aura,Ambient Aura,full,partial,hybrid,False,core,177
feature,aura-guardian,Aura Guardian,full,partial,hybrid,False,core,177
feature,aura-mastery,Aura Mastery,full,partial,hybrid,False,core,177
feature,aura-reader,Aura Reader,full,partial,hybrid,False,core,177
feature,sword-of-body-and-soul,Sword of Body and Soul,full,manual,manual_text,False,core,177
feature,the-power-of-aura,The Power of Aura,full,manual,manual_text,False,core,177
feature,advanced-capture-techniques,Advanced Capture Techniques,partial,manual,hybrid,False,core,78
