family_id,from_species_name,to_species_name,to_min_level,condition_text,mapping_confidence,source_id
evofam-eaccb2cd0a06,Wartortle,Blastoise,30,Minimum 30,safe_single_predecessor,gen8
evofam-0d7749a968f8,Torchic,Combusken,15,Minimum 15,safe_single_predecessor,gen8
evofam-0d7749a968f8,Combusken,Blaziken,30,Minimum 30,safe_single_predecessor,gen8
evofam-283776835eef,Blipbug,Dottler,10,Minimum 10,safe_single_predecessor,gen8
evofam-283776835eef,Dottler,Orbeetle,30,Minimum 30,safe_single_predecessor,gen8
evofam-c6e600ef6187,Happiny,Chansey,20,Minimum 20,safe_single_predecessor,gen8
evofam-c6e600ef6187,Chansey,Blissey,30,Minimum 30,safe_single_predecessor,gen8
evofam-534a67530a75,Blitzle,Zebstrika,25,Minimum 25,safe_single_predecessor,gen8
evofam-603e81b42009,Roggenrola,Boldore,25,Minimum 25,safe_single_predecessor,gen8
evofam-603e81b42009,Boldore,Gigalith,40,Minimum 40,safe_single_predecessor,gen8
evofam-d6fc1384e7ec,Yamper,Boltund,25,Minimum 25,safe_single_predecessor,gen8
evofam-c775a8da2d12,Bonsly,Sudowoodo,20,Minimum 20 Egg,safe_single_predecessor,gen8
evofam-21d68c308f54,Bounsweet,Steenee,15,Minimum 15,safe_single_predecessor,gen8
evofam-21d68c308f54,Steenee,Tsareena,30,Minimum 30 TM,safe_single_predecessor,gen8
evofam-2c3635826cdc,Fennekin,Braixen,15,Minimum 15,safe_single_predecessor,gen8
evofam-2c3635826cdc,Braixen,Delphox,30,Minimum 30,safe_single_predecessor,gen8
evofam-f079b11c01d2,Rufflet,Braviary,35,Minimum 35,safe_single_predecessor,gen8
evofam-6963956dc2d1,Shroomish,Breloom,20,Minimum 20,safe_single_predecessor,gen8
evofam-627c71a302ee,Popplio,Brionne,15,Minimum 15,safe_single_predecessor,gen8
evofam-627c71a302ee,Brionne,Primarina,30,Minimum 30,safe_single_predecessor,gen8
evofam-e8f4ead19394,Bronzor,Bronzong,30,Minimum 30,safe_single_predecessor,gen8
evofam-74cc8262dcaa,Budew,Roselia,20,Minimum 20,safe_single_predecessor,gen8
evofam-74cc8262dcaa,Roselia,Roserade,30,Minimum 30 TM,safe_single_predecessor,gen8
evofam-bfd6e7ad16cd,Buizel,Floatzel,25,Minimum 25,safe_single_predecessor,gen8
evofam-4157e82f5797,Bulbasaur,Ivysaur,15,Minimum 15,safe_single_predecessor,gen8
evofam-4157e82f5797,Ivysaur,Venusaur,30,Minimum 30,safe_single_predecessor,gen8
evofam-58d143e875a1,Buneary,Lopunny,20,Minimum 20,safe_single_predecessor,gen8
evofam-088a412e5e7e,Bunnelby,Diggersby,20,Minimum 20,safe_single_predecessor,gen8
evofam-22a653134527,Burmy,Mothim,20,"Minimum 20, Male",safe_single_predecessor,gen8
evofam-54f8a85ae26c,Caterpie,Metapod,5,Minimum 5,safe_single_predecessor,gen8
evofam-54f8a85ae26c,Metapod,Butterfree,10,Minimum 10,safe_single_predecessor,gen8
evofam-e3a9fc518db2,Cacnea,Cacturne,30,Minimum 30,safe_single_predecessor,gen8
evofam-a3ee892d9186,Numel,Camerupt,30,Minimum 30,safe_single_predecessor,gen8
evofam-9b4ba475821f,Rolycoly,Carkol,20,Minimum 20,safe_single_predecessor,gen8
evofam-9b4ba475821f,Carkol,Coalossal,30,Minimum 30,safe_single_predecessor,gen8
evofam-5caa91cf2178,Tirtouga,Carracosta,30,Minimum 30,safe_single_predecessor,gen8
evofam-eab831c89de4,Carvanha,Sharpedo,30,Minimum 30,safe_single_predecessor,gen8
evofam-38cc543df8b3,Wurmple,Cascoon,5,Minimum 5,safe_single_predecessor,gen8
evofam-38cc543df8b3,Cascoon,Dustox,10,Minimum 10,safe_single_predecessor,gen8
evofam-533c7ef9367a,Sizzlipede,Centiskorch,30,Minimum 30,safe_single_predecessor,gen8
evofam-f643424f743f,Litwick,Lampent,20,Minimum 20,safe_single_predecessor,gen8
evofam-f643424f743f,Lampent,Chandelure,35,Minimum 35 TM,safe_single_predecessor,gen8
evofam-363c6a11daac,Charmander,Charmeleon,15,Minimum 15,safe_single_predecessor,gen8
evofam-363c6a11daac,Charmeleon,Charizard,30,Minimum 30,safe_single_predecessor,gen8
evofam-465c379ad748,Grubbin,Charjabug,20,Minimum 20,safe_single_predecessor,gen8
evofam-465c379ad748,Charjabug,Vikavolt,30,Minimum 30,safe_single_predecessor,gen8
evofam-1c4f699571dd,Cherubi,Cherrim,25,Minimum 25,safe_single_predecessor,gen8
evofam-f4e006c15b7e,Chespin,Quilladin,15,Minimum 15,safe_single_predecessor,gen8
evofam-f4e006c15b7e,Quilladin,Chesnaught,30,Minimum 30,safe_single_predecessor,gen8
evofam-b9596b082e07,Chewtle,Drednaw,20,Minimum 20,safe_single_predecessor,gen8
evofam-fae70fdd7b0c,Chickute,Heafinha,20,Minimum 20; Female,safe_single_predecessor,chickute
evofam-fae70fdd7b0c,Heafinha,Terroster,30,minimum 30; Male,safe_single_predecessor,chickute
evofam-bbf85a000d88,Chimchar,Monferno,15,Minimum 15,safe_single_predecessor,gen8
evofam-bbf85a000d88,Monferno,Infernape,30,Minimum 30,safe_single_predecessor,gen8
evofam-d6d304a3aadf,Chingling,Chimecho,15,Minimum 15,safe_single_predecessor,gen8
evofam-c34028fe3af7,Chinchou,Lanturn,25,Minimum 25,safe_single_predecessor,gen8
evofam-bb54321da2ed,Minccino,Cinccino,25,Minimum 25,safe_single_predecessor,gen8
evofam-543b3842be70,Scorbunny,Raboot,15,Minimum 15,safe_single_predecessor,gen8
evofam-543b3842be70,Raboot,Cinderace,30,Minimum 30,safe_single_predecessor,gen8
evofam-c0107a40c8a2,Clamperl,Huntail,20,Minimum 20,safe_single_predecessor,gen8
evofam-c0107a40c8a2,Clamperl,Gorebyss,20,Minimum 20,safe_single_predecessor,gen8
evofam-e082253a59c4,Clauncher,Clawitzer,30,Minimum 30,safe_single_predecessor,gen8
evofam-9c31b66d38d4,Cleffa,Clefairy,10,Minimum 10,safe_single_predecessor,gen8
evofam-9c31b66d38d4,Clefairy,Clefable,20,Minimum 20,safe_single_predecessor,gen8
evofam-07d55e281be7,Clobbopus,Grapploct,30,Minimum 30,safe_single_predecessor,gen8
evofam-9741ac600cc6,Shellder,Cloyster,25,Minimum 25,safe_single_predecessor,gen8
evofam-f2cc1c10b3e3,Yamask,Cofagrigus,30,Minimum 30,safe_single_predecessor,gen8
evofam-c16d0d73ada4,Combee,Vespiquen,20,"Minimum 20, Female",safe_single_predecessor,gen8
evofam-07b6f364b21e,Timburr,Gurdurr,20,Minimum 20,safe_single_predecessor,gen8
evofam-07b6f364b21e,Gurdurr,Conkeldurr,35,Minimum 35,safe_single_predecessor,gen8
evofam-77c2a90be99b,Cufant,Copperajah,30,Minimum 30,safe_single_predecessor,gen8
evofam-5a9391b21096,Corphish,Crawdaunt,30,Minimum 30,safe_single_predecessor,gen8
evofam-eb4fdc08d6d8,Corsola,Cursola,30,Minimum 30,safe_single_predecessor,gen8
evofam-f5632a79fc75,Rookidee,Corvisquire,15,Minimum 15,safe_single_predecessor,gen8
evofam-f5632a79fc75,Corvisquire,Corviknight,30,Minimum 30,safe_single_predecessor,gen8
evofam-de86f7953aa5,Cosmog,Cosmoem,20,Minimum 20,safe_single_predecessor,gen8
evofam-de86f7953aa5,Cosmoem,Solgaleo,40,Minimum 40,safe_single_predecessor,gen8
evofam-de86f7953aa5,Cosmoem,Lunala,40,Minimum 40,safe_single_predecessor,gen8
evofam-26ba568ee021,Cottonee,Whimsicott,25,Minimum 25,safe_single_predecessor,gen8
evofam-581723969e9b,Crabrawler,Crabominable,25,Minimum 25,safe_single_predecessor,gen8
evofam-88ec78fd25de,Crabrawler,Crabominable,25,Minimum 25 Egg,safe_single_predecessor,gen8
evofam-a1560c222d9d,Lileep,Cradily,30,Minimum 30,safe_single_predecessor,gen8
evofam-7afbd3e38bc1,Cranidos,Rampardos,30,Minimum 30 Egg,safe_single_predecessor,gen8
evofam-b90f54befb5f,Croagunk,Toxicroak,30,Minimum 30,safe_single_predecessor,gen8
evofam-8e09589a0f0d,Zubat,Golbat,20,Minimum 20,safe_single_predecessor,gen8
evofam-8e09589a0f0d,Golbat,Crobat,30,Minimum 30,safe_single_predecessor,gen8
evofam-6a3fb0cb71ea,Totodile,Croconaw,15,Minimum 15,safe_single_predecessor,gen8
evofam-6a3fb0cb71ea,Croconaw,Feraligatr,30,Minimum 30,safe_single_predecessor,gen8
evofam-cc15bd13e538,Dwebble,Crustle,30,Minimum 30,safe_single_predecessor,gen8
evofam-0fd383ddf1d2,Cubone,Marowak,25,Minimum 25,safe_single_predecessor,gen8
evofam-0fd383ddf1d2,Cubone,Marowak,25,(A) Minimum 25,safe_single_predecessor,gen8
evofam-05d36fa39564,Cutiefly,Ribombee,25,Minimum 25,safe_single_predecessor,gen8
evofam-b94c01900bbc,Cyndaquil,Quilava,15,Minimum 15,safe_single_predecessor,gen8
evofam-b94c01900bbc,Quilava,Typhlosion,30,Minimum 30,safe_single_predecessor,gen8
evofam-2156670aad85,Rowlet,Dartrix,15,Minimum 15,safe_single_predecessor,gen8
evofam-2156670aad85,Dartrix,Decidueye,30,Minimum 30,safe_single_predecessor,gen8
evofam-f651cef6bda0,Deerling,Sawsbuck,25,Minimum 25,safe_single_predecessor,gen8
evofam-fd8a3fa98a7f,Deino,Zweilous,20,Minimum 20,safe_single_predecessor,gen8
evofam-fd8a3fa98a7f,Zweilous,Hydreigon,40,Minimum 40,safe_single_predecessor,gen8
evofam-9da9c8cb994d,Skitty,Delcatty,20,Minimum 20,safe_single_predecessor,gen8
evofam-6f4c2488bb17,Seel,Dewgong,30,Minimum 30,safe_single_predecessor,gen8
evofam-9b9d9d60e379,Oshawott,Dewott,15,Minimum 15,safe_single_predecessor,gen8
evofam-9b9d9d60e379,Dewott,Samurott,30,Minimum 30,safe_single_predecessor,gen8
evofam-f0b3bcf31d67,Diglett,Dugtrio,25,Minimum 25,safe_single_predecessor,gen8
evofam-d373bbd45130,Diglett,Dugtrio,25,(A) Minimum 25,safe_single_predecessor,gen8
evofam-0920cf78e1b4,Doduo,Dodrio,25,Minimum 25,safe_single_predecessor,gen8
evofam-acda2bbfa289,Phanpy,Donphan,25,Minimum 25,safe_single_predecessor,gen8
evofam-2bda906c6635,Skrelp,Dragalge,30,Minimum 30,safe_single_predecessor,gen8
evofam-22dca5714523,Dreepy,Drakloak,20,Minimum 20,safe_single_predecessor,gen8
evofam-22dca5714523,Drakloak,Dragapult,40,Minimum 40,safe_single_predecessor,gen8
evofam-3b33f9ced396,Dratini,Dragonair,20,Minimum 20,safe_single_predecessor,gen8
evofam-3b33f9ced396,Dragonair,Dragonite,40,Minimum 40,safe_single_predecessor,gen8
evofam-8bb34f4c1d14,Drakloak,Dragapult,40,Minimum 40 Tutor,safe_single_predecessor,gen8
evofam-0b97d04e8d03,Skorupi,Drapion,30,Minimum 30,safe_single_predecessor,gen8
evofam-130d91df5b59,Chewtle,Drednaw,20,Minimum 20 TM,safe_single_predecessor,gen8
evofam-fc241432fd3e,Drifloon,Drifblim,25,Minimum 25,safe_single_predecessor,gen8
evofam-7d068fc68f62,Drilbur,Excadrill,30,Minimum 30,safe_single_predecessor,gen8
evofam-3a21f33a9247,Sobble,Drizzile,15,Minimum 15,safe_single_predecessor,gen8
evofam-3a21f33a9247,Drizzile,Inteleon,30,Minimum 30,safe_single_predecessor,gen8
evofam-ef29164e19dc,Drowzee,Hypno,25,Minimum 25,safe_single_predecessor,gen8
evofam-bb31e6f82479,Wooloo,Dubwool,25,Minimum 25,safe_single_predecessor,gen8
evofam-9f4a0b2f0e18,Ducklett,Swanna,30,Minimum 30,safe_single_predecessor,gen8
evofam-e0768e26fc1c,Solosis,Duosion,15,Minimum 15,safe_single_predecessor,gen8
evofam-e0768e26fc1c,Duosion,Reuniclus,35,Minimum 35,safe_single_predecessor,gen8
evofam-0298ae9ba524,Duskull,Dusclops,25,Minimum 25,safe_single_predecessor,gen8
evofam-0298ae9ba524,Dusclops,Dusknoir,40,Minimum 40,safe_single_predecessor,gen8
evofam-1caa7be2abb8,Tynamo,Eelektrik,15,Minimum 15,safe_single_predecessor,gen8
evofam-1caa7be2abb8,Eelektrik,Eelektross,40,Minimum 40,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Vaporeon,25,Minimum 25,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Jolteon,25,Minimum 25,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Flareon,25,Minimum 25,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Espeon,25,Minimum 25,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Umbreon,25,Minimum 25,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Leafeon,25,Minimum 25,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Glaceon,25,Minimum 25,safe_single_predecessor,gen8
evofam-e71f831dec36,Eevee,Sylveon,25,Minimum 25 TM,safe_single_predecessor,gen8
evofam-c73dc7bcdd96,Gossifleur,Eldegoss,20,Minimum 20,safe_single_predecessor,gen8
evofam-30ccad69e4d2,Elekid,Electabuzz,30,Minimum 30,safe_single_predecessor,gen8
evofam-30ccad69e4d2,Electabuzz,Electivire,40,Minimum 40,safe_single_predecessor,gen8
evofam-cade537d5140,Electrike,Manectric,25,Minimum 25,safe_single_predecessor,gen8
evofam-80cfbfa3c502,Voltorb,Electrode,30,Minimum 30,safe_single_predecessor,gen8
evofam-45c2eca1d78b,Electabuzz,Electivire,40,Minimum 40 Egg,safe_single_predecessor,gen8
evofam-dabfe669ba1e,Tepig,Pignite,15,Minimum 15,safe_single_predecessor,gen8
evofam-dabfe669ba1e,Pignite,Emboar,30,Minimum 30,safe_single_predecessor,gen8
evofam-d1b379c73ca1,Piplup,Prinplup,15,Minimum 15,safe_single_predecessor,gen8
evofam-d1b379c73ca1,Prinplup,Empoleon,30,Minimum 30,safe_single_predecessor,gen8
evofam-e0c182cf94d9,Karrablast,Escavalier,25,Minimum 25,safe_single_predecessor,gen8
evofam-6d306b8e9b1a,Espurr,MEOWSTIC (M),25,Minimum 25; Male,safe_single_predecessor,gen8
evofam-6d306b8e9b1a,Espurr,MEOWSTIC (F),25,Minimum 25; Female,safe_single_predecessor,gen8
evofam-04c108644eb9,Exeggcute,Exeggutor,25,Minimum 25,safe_single_predecessor,gen8
evofam-04c108644eb9,Exeggcute,Exeggutor,25,(A) Minimum 25,safe_single_predecessor,gen8
evofam-0730c331d2f1,Whismur,Loudred,20,Minimum 20,safe_single_predecessor,gen8
evofam-0730c331d2f1,Loudred,Exploud,40,Minimum 40,safe_single_predecessor,gen8
evofam-6beed4bb29eb,Farfetch'D,Sirfetch'D,25,Minimum 25,safe_single_predecessor,gen8
evofam-2b4104546f9e,Spearow,Fearow,20,Minimum 20,safe_single_predecessor,gen8
evofam-e1100d4aed45,Feebas,Milotic,20,Minimum 20,safe_single_predecessor,gen8
evofam-115c8f181ca4,Ferroseed,Ferrothorn,30,Minimum 30,safe_single_predecessor,gen8
evofam-90ad10e35723,Finneon,Lumineon,30,Minimum 30,safe_single_predecessor,gen8
evofam-fdb6386793b0,FLABÉBÉ,Floette,15,Minimum 15,safe_single_predecessor,gen8
evofam-fdb6386793b0,Floette,Florges,30,Minimum 30,safe_single_predecessor,gen8
evofam-4c1301d18e43,Fletchling,Fletchinder,15,Minimum 15,safe_single_predecessor,gen8
evofam-4c1301d18e43,Fletchinder,Talonflame,30,Minimum 30,safe_single_predecessor,gen8
evofam-a7190a202ff6,Trapinch,Vibrava,25,Minimum 25,safe_single_predecessor,gen8
evofam-a7190a202ff6,Vibrava,Flygon,45,Minimum 45,safe_single_predecessor,gen8
evofam-59273d6eeeda,Fomantis,Lurantis,30,Minimum 30,safe_single_predecessor,gen8
evofam-98196798ee5a,Pineco,Forretress,30,Minimum 30,safe_single_predecessor,gen8
evofam-c22b77bc9007,Frillish,Jellicent,30,Minimum 30,safe_single_predecessor,gen8
evofam-176f1ae8a89e,Froakie,Frogadier,15,Minimum 15,safe_single_predecessor,gen8
evofam-176f1ae8a89e,Frogadier,Greninja,30,Minimum 30,safe_single_predecessor,gen8
evofam-2944651fe7ee,Frogadier,Greninja,30,Minimum 30 Tutor,safe_single_predecessor,gen8
evofam-2ef3c8e5a797,Snorunt,Froslass,30,Minimum 30; Female,safe_single_predecessor,gen8
evofam-a5feb970be2d,Snom,Frosmoth,20,Minimum 20,safe_single_predecessor,gen8
evofam-9461cc8ec35f,Sentret,Furret,15,Minimum 15,safe_single_predecessor,gen8
evofam-0e1996be201c,Gible,Gabite,20,Minimum 20,safe_single_predecessor,gen8
evofam-0e1996be201c,Gabite,Garchomp,40,Minimum 40,safe_single_predecessor,gen8
evofam-60c7e83f30da,Ralts,Kirlia,20,Minimum 20,safe_single_predecessor,gen8
evofam-60c7e83f30da,Kirlia,Gallade,30,"Minimum 30, Male",safe_single_predecessor,gen8
evofam-5af47310608f,Joltik,Galvantula,30,Minimum 30,safe_single_predecessor,gen8
evofam-fffcdcc9c3d9,Trubbish,Garbodor,30,Minimum 30,safe_single_predecessor,gen8
evofam-4a4a9313c6b5,Kirlia,Gardevoir,30,Minimum 30,safe_single_predecessor,gen8
evofam-9b029060b3ea,Gastly,Haunter,20,Minimum 20,safe_single_predecessor,gen8
evofam-9b029060b3ea,Haunter,Gengar,35,Minimum 35,safe_single_predecessor,gen8
evofam-a6ec7a9013cf,Shellos,Gastrodon,30,Minimum 30,safe_single_predecessor,gen8
evofam-717894fc7150,Geodude,Graveler,25,Minimum 25,safe_single_predecessor,gen8
evofam-717894fc7150,Graveler,Golem,35,Minimum 35,safe_single_predecessor,gen8
evofam-aec280cc73d6,Geodude,Graveler,25,(A) Minimum 25,safe_single_predecessor,gen8
evofam-aec280cc73d6,Graveler,Golem,30,(A) Minimum 30,safe_single_predecessor,gen8
evofam-8bd7504afb64,Snorunt,Glalie,30,Minimum 30,safe_single_predecessor,gen8
evofam-2cad6df7d77a,Glameow,Purugly,20,Minimum 20,safe_single_predecessor,gen8
evofam-b9c4413e7460,Gligar,Gliscor,25,Minimum 25,safe_single_predecessor,gen8
evofam-224d9dab1d69,Gloom,Vileplume,30,Minimum 30,safe_single_predecessor,gen8
evofam-b05c7d9c4002,Skiddo,Gogoat,30,Minimum 30,safe_single_predecessor,gen8
evofam-33b71ef21c0e,Goldeen,Seaking,30,Minimum 30,safe_single_predecessor,gen8
evofam-0bb2fdf51c4f,Psyduck,Golduck,30,Minimum 30,safe_single_predecessor,gen8
evofam-19faecaa0c44,Golett,Golurk,30,Minimum 30,safe_single_predecessor,gen8
evofam-4815679ed50b,Wimpod,Golisopod,20,Minimum 20,safe_single_predecessor,gen8
evofam-299045157f6f,Goomy,Sliggoo,20,Minimum 20,safe_single_predecessor,gen8
evofam-299045157f6f,Sliggoo,Goodra,40,Minimum 40,safe_single_predecessor,gen8
evofam-f8b61e7fa52a,Gothita,Gothorita,15,Minimum 15,safe_single_predecessor,gen8
evofam-f8b61e7fa52a,Gothorita,Gothitelle,35,Minimum 35,safe_single_predecessor,gen8
evofam-31ce5d317551,Pumpkaboo,Gourgeist,25,Minimum 25,safe_single_predecessor,gen8
evofam-d896a8e5c5a3,Snubbull,Granbull,20,Minimum 20,safe_single_predecessor,gen8
evofam-4b220fc2b33b,Skwovet,Greedent,25,Minimum 25,safe_single_predecessor,gen8
evofam-4b76672fa9ed,Grimer,Muk,30,Minimum 30,safe_single_predecessor,gen8
evofam-09c08511cb08,Grimer,Muk,30,(A) Minimum 30,safe_single_predecessor,gen8
evofam-cfc965f3a60c,Impidimp,Morgrem,20,Minimum 20,safe_single_predecessor,gen8
evofam-cfc965f3a60c,Morgrem,Grimmsnarl,40,Minimum 40,safe_single_predecessor,gen8
evofam-504059702d46,Grookey,Thwackey,15,Minimum 15,safe_single_predecessor,gen8
evofam-504059702d46,Thwackey,Rillaboom,30,Minimum 30,safe_single_predecessor,gen8
evofam-4aca49d1f955,Turtwig,Grotle,15,Minimum 15,safe_single_predecessor,gen8
evofam-4aca49d1f955,Grotle,Torterra,30,Minimum 30,safe_single_predecessor,gen8
evofam-e0bf86c9e089,Treecko,Grovyle,15,Minimum 15,safe_single_predecessor,gen8
evofam-e0bf86c9e089,Grovyle,Sceptile,30,Minimum 30,safe_single_predecessor,gen8
evofam-c4806a520e29,Spoink,Grumpig,30,Minimum 30,safe_single_predecessor,gen8
evofam-021f60352333,Gulpin,Swalot,25,Minimum 25,safe_single_predecessor,gen8
evofam-bdcc50ace9b1,Yungoos,Gumshoos,20,Minimum 20,safe_single_predecessor,gen8
evofam-cdb7e8c7ec37,Magikarp,Gyarados,20,Minimum 20,safe_single_predecessor,gen8
evofam-00aa8c09facf,Jangmo-O,Hakamo-O,20,Minimum 20,safe_single_predecessor,gen8
evofam-00aa8c09facf,Hakamo-O,Kommo-O,40,Minimum 40,safe_single_predecessor,gen8
evofam-69bb823373a4,Chansey,Blissey,30,Minimum 30 TM,safe_single_predecessor,gen8
evofam-1344ed03dea5,Makuhita,Hariyama,20,Minimum 20,safe_single_predecessor,gen8
evofam-47862df9e6d6,Hatenna,Hattrem,20,Minimum 20,safe_single_predecessor,gen8
evofam-47862df9e6d6,Hatenna,Hatterene,40,Minimum 40,safe_single_predecessor,gen8
evofam-7f7a9a315691,Helioptile,Heliolisk,20,Minimum 20,safe_single_predecessor,gen8
evofam-6182d9deaf06,Helioptile,Heliolisk,20,Minimum 20 Egg,safe_single_predecessor,gen8
evofam-9cfddad49b38,Lillipup,Herdier,15,Minimum 15,safe_single_predecessor,gen8
evofam-9cfddad49b38,Herdier,Stoutland,30,Minimum 30,safe_single_predecessor,gen8
evofam-bc00d36952de,Hippopotas,Hippowdon,30,Minimum 30,safe_single_predecessor,gen8
evofam-e08725370cfa,Tyrogue,Hitmonchan,20,Minimum 20,safe_single_predecessor,gen8
evofam-5ad62273471f,Tyrogue,Hitmonlee,20,Minimum 20,safe_single_predecessor,gen8
evofam-b9e361f1f2f5,Tyrogue,Hitmontop,20,Minimum 20,safe_single_predecessor,gen8
