id,display_name,national_dex_number,display_dex_id,variant_index,variant_of,variant_kind,variant_label,generation,enabled,enabled_for_character_creation,mechanical_completeness,types,base_stats,height,weight,gender_ratio,egg_groups,habitats,source_id,source_page,needs_review,reference_validation
sprigatito,Sprigatito,906,906,,,,,9,False,False,external_stub,"[""Grass""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
floragato,Floragato,907,907,,,,,9,False,False,external_stub,"[""Grass""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
meowscarada,Meowscarada,908,908,,,,,9,False,False,external_stub,"[""Grass"",""Dark""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
fuecoco,Fuecoco,909,909,,,,,9,False,False,external_stub,"[""Fire""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
crocalor,Crocalor,910,910,,,,,9,False,False,external_stub,"[""Fire""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
skeledirge,Skeledirge,911,911,,,,,9,False,False,external_stub,"[""Fire"",""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
quaxly,Quaxly,912,912,,,,,9,False,False,external_stub,"[""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
quaxwell,Quaxwell,913,913,,,,,9,False,False,external_stub,"[""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
quaquaval,Quaquaval,914,914,,,,,9,False,False,external_stub,"[""Water"",""Fighting""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
lechonk,Lechonk,915,915,,,,,9,False,False,external_stub,"[""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
oinkologne,Oinkologne,916,916,,,,,9,False,False,external_stub,"[""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
tarountula,Tarountula,917,917,,,,,9,False,False,external_stub,"[""Bug""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
spidops,Spidops,918,918,,,,,9,False,False,external_stub,"[""Bug""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
nymble,Nymble,919,919,,,,,9,False,False,external_stub,"[""Bug""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
lokix,Lokix,920,920,,,,,9,False,False,external_stub,"[""Bug"",""Dark""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
pawmi,Pawmi,921,921,,,,,9,False,False,external_stub,"[""Electric""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
pawmo,Pawmo,922,922,,,,,9,False,False,external_stub,"[""Electric"",""Fighting""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
pawmot,Pawmot,923,923,,,,,9,False,False,external_stub,"[""Electric"",""Fighting""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
tandemaus,Tandemaus,924,924,,,,,9,False,False,external_stub,"[""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
maushold,Maushold,925,925,,,,,9,False,False,external_stub,"[""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
fidough,Fidough,926,926,,,,,9,False,False,external_stub,"[""Fairy""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
dachsbun,Dachsbun,927,927,,,,,9,False,False,external_stub,"[""Fairy""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
smoliv,Smoliv,928,928,,,,,9,False,False,external_stub,"[""Grass"",""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
dolliv,Dolliv,929,929,,,,,9,False,False,external_stub,"[""Grass"",""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
arboliva,Arboliva,930,930,,,,,9,False,False,external_stub,"[""Grass"",""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
squawkabilly,Squawkabilly,931,931,,,,,9,False,False,external_stub,"[""Normal"",""Flying""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
nacli,Nacli,932,932,,,,,9,False,False,external_stub,"[""Rock""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
naclstack,Naclstack,933,933,,,,,9,False,False,external_stub,"[""Rock""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
garganacl,Garganacl,934,934,,,,,9,False,False,external_stub,"[""Rock""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
charcadet,Charcadet,935,935,,,,,9,True,True,complete,"[""Fire""]","{""hp"":4,""attack"":5,""defense"":4,""special_attack"":5,""special_defense"":4,""speed"":4}","{""raw"":""2' 00\"" / 0.6m (Small)"",""meters"":0.6,""size_class"":""Small""}","{""raw"":""23.1 lbs / 10.5 kg (2)"",""kg"":10.5,""weight_class"":2}","{""raw"":""50% Male / 50% Female"",""male_percent"":50.0,""female_percent"":50.0,""genderless"":false}","[""Human Shape""]","["": Cave"",""Urban""]",knight,1,False,"{""unresolved_abilities"":2,""unresolved_move_references"":3,""unresolved_capabilities"":0}"
armarouge,Armarouge,936,936,,,,,9,True,True,complete,"[""Fire"",""Psychic""]","{""hp"":9,""attack"":6,""defense"":10,""special_attack"":13,""special_defense"":8,""speed"":8}","{""raw"":""4' 11\"" / 1.5m (Medium)"",""meters"":1.5,""size_class"":""Medium""}","{""raw"":""187.4 lbs / 85.0 kg (4)"",""kg"":85.0,""weight_class"":4}","{""raw"":""50% Male / 50% Female"",""male_percent"":50.0,""female_percent"":50.0,""genderless"":false}","[""Human Shape""]","["": Cave"",""Urban""]",knight,2,False,"{""unresolved_abilities"":1,""unresolved_move_references"":3,""unresolved_capabilities"":0}"
ceruledge,Ceruledge,937,937,,,,,9,True,True,complete,"[""Fire""]","{""hp"":8,""attack"":13,""defense"":8,""special_attack"":6,""special_defense"":10,""speed"":9}","{""raw"":""4' 11\"" / 1.5m (Medium)"",""meters"":1.5,""size_class"":""Medium""}","{""raw"":""187.4 lbs / 85.0 kg (4)"",""kg"":85.0,""weight_class"":4}","{""raw"":""50% Male / 50% Female"",""male_percent"":50.0,""female_percent"":50.0,""genderless"":false}","[""Human Shape""]","["": Cave"",""Urban""]",knight,3,False,"{""unresolved_abilities"":2,""unresolved_move_references"":4,""unresolved_capabilities"":0}"
tadbulb,Tadbulb,938,938,,,,,9,False,False,external_stub,"[""Electric""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
bellibolt,Bellibolt,939,939,,,,,9,False,False,external_stub,"[""Electric""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
wattrel,Wattrel,940,940,,,,,9,False,False,external_stub,"[""Electric"",""Flying""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
kilowattrel,Kilowattrel,941,941,,,,,9,False,False,external_stub,"[""Electric"",""Flying""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
maschiff,Maschiff,942,942,,,,,9,False,False,external_stub,"[""Dark""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
mabosstiff,Mabosstiff,943,943,,,,,9,False,False,external_stub,"[""Dark""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
shroodle,Shroodle,944,944,,,,,9,False,False,external_stub,"[""Poison"",""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
grafaiai,Grafaiai,945,945,,,,,9,False,False,external_stub,"[""Poison"",""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
bramblin,Bramblin,946,946,,,,,9,False,False,external_stub,"[""Grass"",""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
brambleghast,Brambleghast,947,947,,,,,9,False,False,external_stub,"[""Grass"",""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
toedscool,Toedscool,948,948,,,,,9,False,False,external_stub,"[""Ground"",""Grass""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
toedscruel,Toedscruel,949,949,,,,,9,False,False,external_stub,"[""Ground"",""Grass""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
klawf,Klawf,950,950,,,,,9,False,False,external_stub,"[""Rock""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
capsakid,Capsakid,951,951,,,,,9,False,False,external_stub,"[""Grass""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
scovillain,Scovillain,952,952,,,,,9,False,False,external_stub,"[""Grass"",""Fire""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
rellor,Rellor,953,953,,,,,9,False,False,external_stub,"[""Bug""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
rabsca,Rabsca,954,954,,,,,9,False,False,external_stub,"[""Bug"",""Psychic""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
flittle,Flittle,955,955,,,,,9,False,False,external_stub,"[""Psychic""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
espathra,Espathra,956,956,,,,,9,False,False,external_stub,"[""Psychic""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
tinkatink,Tinkatink,957,957,,,,,9,False,False,external_stub,"[""Fairy"",""Steel""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
tinkatuff,Tinkatuff,958,958,,,,,9,False,False,external_stub,"[""Fairy"",""Steel""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
tinkaton,Tinkaton,959,959,,,,,9,False,False,external_stub,"[""Fairy"",""Steel""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
wiglett,Wiglett,960,960,,,,,9,False,False,external_stub,"[""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
wugtrio,Wugtrio,961,961,,,,,9,False,False,external_stub,"[""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
bombirdier,Bombirdier,962,962,,,,,9,False,False,external_stub,"[""Flying"",""Dark""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
finizen,Finizen,963,963,,,,,9,False,False,external_stub,"[""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
palafin,Palafin,964,964,,,,,9,False,False,external_stub,"[""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
varoom,Varoom,965,965,,,,,9,False,False,external_stub,"[""Steel"",""Poison""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
revavroom,Revavroom,966,966,,,,,9,False,False,external_stub,"[""Steel"",""Poison""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
cyclizar,Cyclizar,967,967,,,,,9,False,False,external_stub,"[""Dragon"",""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
orthworm,Orthworm,968,968,,,,,9,False,False,external_stub,"[""Steel""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
glimmet,Glimmet,969,969,,,,,9,False,False,external_stub,"[""Rock"",""Poison""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
glimmora,Glimmora,970,970,,,,,9,False,False,external_stub,"[""Rock"",""Poison""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
greavard,Greavard,971,971,,,,,9,False,False,external_stub,"[""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
houndstone,Houndstone,972,972,,,,,9,False,False,external_stub,"[""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
flamigo,Flamigo,973,973,,,,,9,False,False,external_stub,"[""Flying"",""Fighting""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
cetoddle,Cetoddle,974,974,,,,,9,False,False,external_stub,"[""Ice""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
cetitan,Cetitan,975,975,,,,,9,False,False,external_stub,"[""Ice""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
veluza,Veluza,976,976,,,,,9,False,False,external_stub,"[""Water"",""Psychic""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
dondozo,Dondozo,977,977,,,,,9,False,False,external_stub,"[""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
tatsugiri,Tatsugiri,978,978,,,,,9,False,False,external_stub,"[""Dragon"",""Water""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
annihilape,Annihilape,979,979,,,,,9,False,False,external_stub,"[""Fighting"",""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
