national_dex_number,display_name,species_key,generation,types,definition_id,mechanical_completeness,enabled_for_character_creation,source_ids,official_number_status
927,Dachsbun,dachsbun,9,"[""Fairy""]",dachsbun,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
928,Smoliv,smoliv,9,"[""Grass"",""Normal""]",smoliv,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
929,Dolliv,dolliv,9,"[""Grass"",""Normal""]",dolliv,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
930,Arboliva,arboliva,9,"[""Grass"",""Normal""]",arboliva,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
931,Squawkabilly,squawkabilly,9,"[""Normal"",""Flying""]",squawkabilly,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
932,Nacli,nacli,9,"[""Rock""]",nacli,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
933,Naclstack,naclstack,9,"[""Rock""]",naclstack,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
934,Garganacl,garganacl,9,"[""Rock""]",garganacl,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
938,Tadbulb,tadbulb,9,"[""Electric""]",tadbulb,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
939,Bellibolt,bellibolt,9,"[""Electric""]",bellibolt,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
940,Wattrel,wattrel,9,"[""Electric"",""Flying""]",wattrel,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
941,Kilowattrel,kilowattrel,9,"[""Electric"",""Flying""]",kilowattrel,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
942,Maschiff,maschiff,9,"[""Dark""]",maschiff,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
943,Mabosstiff,mabosstiff,9,"[""Dark""]",mabosstiff,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
944,Shroodle,shroodle,9,"[""Poison"",""Normal""]",shroodle,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
945,Grafaiai,grafaiai,9,"[""Poison"",""Normal""]",grafaiai,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
946,Bramblin,bramblin,9,"[""Grass"",""Ghost""]",bramblin,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
947,Brambleghast,brambleghast,9,"[""Grass"",""Ghost""]",brambleghast,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
948,Toedscool,toedscool,9,"[""Ground"",""Grass""]",toedscool,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
949,Toedscruel,toedscruel,9,"[""Ground"",""Grass""]",toedscruel,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
950,Klawf,klawf,9,"[""Rock""]",klawf,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
951,Capsakid,capsakid,9,"[""Grass""]",capsakid,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
952,Scovillain,scovillain,9,"[""Grass"",""Fire""]",scovillain,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
953,Rellor,rellor,9,"[""Bug""]",rellor,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
954,Rabsca,rabsca,9,"[""Bug"",""Psychic""]",rabsca,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
955,Flittle,flittle,9,"[""Psychic""]",flittle,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
956,Espathra,espathra,9,"[""Psychic""]",espathra,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
957,Tinkatink,tinkatink,9,"[""Fairy"",""Steel""]",tinkatink,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
958,Tinkatuff,tinkatuff,9,"[""Fairy"",""Steel""]",tinkatuff,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
959,Tinkaton,tinkaton,9,"[""Fairy"",""Steel""]",tinkaton,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
960,Wiglett,wiglett,9,"[""Water""]",wiglett,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
961,Wugtrio,wugtrio,9,"[""Water""]",wugtrio,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
962,Bombirdier,bombirdier,9,"[""Flying"",""Dark""]",bombirdier,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
963,Finizen,finizen,9,"[""Water""]",finizen,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
964,Palafin,palafin,9,"[""Water""]",palafin,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
965,Varoom,varoom,9,"[""Steel"",""Poison""]",varoom,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
966,Revavroom,revavroom,9,"[""Steel"",""Poison""]",revavroom,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
967,Cyclizar,cyclizar,9,"[""Dragon"",""Normal""]",cyclizar,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
968,Orthworm,orthworm,9,"[""Steel""]",orthworm,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
969,Glimmet,glimmet,9,"[""Rock"",""Poison""]",glimmet,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
970,Glimmora,glimmora,9,"[""Rock"",""Poison""]",glimmora,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
971,Greavard,greavard,9,"[""Ghost""]",greavard,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
972,Houndstone,houndstone,9,"[""Ghost""]",houndstone,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
973,Flamigo,flamigo,9,"[""Flying"",""Fighting""]",flamigo,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
974,Cetoddle,cetoddle,9,"[""Ice""]",cetoddle,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
975,Cetitan,cetitan,9,"[""Ice""]",cetitan,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
976,Veluza,veluza,9,"[""Water"",""Psychic""]",veluza,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
977,Dondozo,dondozo,9,"[""Water""]",dondozo,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
978,Tatsugiri,tatsugiri,9,"[""Dragon"",""Water""]",tatsugiri,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
979,Annihilape,annihilape,9,"[""Fighting"",""Ghost""]",annihilape,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
980,Clodsire,clodsire,9,"[""Poison"",""Ground""]",clodsire,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
981,Farigiraf,farigiraf,9,"[""Normal"",""Psychic""]",farigiraf,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
982,Dudunsparce,dudunsparce,9,"[""Normal""]",dudunsparce,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
984,Great Tusk,greattusk,9,"[""Ground"",""Fighting""]",great-tusk,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
985,Scream Tail,screamtail,9,"[""Fairy"",""Psychic""]",scream-tail,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
986,Brute Bonnet,brutebonnet,9,"[""Grass"",""Dark""]",brute-bonnet,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
987,Flutter Mane,fluttermane,9,"[""Ghost"",""Fairy""]",flutter-mane,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
988,Slither Wing,slitherwing,9,"[""Bug"",""Fighting""]",slither-wing,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
989,Sandy Shocks,sandyshocks,9,"[""Electric"",""Ground""]",sandy-shocks,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
990,Iron Treads,irontreads,9,"[""Ground"",""Steel""]",iron-treads,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
991,Iron Bundle,ironbundle,9,"[""Ice"",""Water""]",iron-bundle,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
992,Iron Hands,ironhands,9,"[""Fighting"",""Electric""]",iron-hands,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
993,Iron Jugulis,ironjugulis,9,"[""Dark"",""Flying""]",iron-jugulis,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
994,Iron Moth,ironmoth,9,"[""Fire"",""Poison""]",iron-moth,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
995,Iron Thorns,ironthorns,9,"[""Rock"",""Electric""]",iron-thorns,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
996,Frigibax,frigibax,9,"[""Dragon"",""Ice""]",frigibax,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
997,Arctibax,arctibax,9,"[""Dragon"",""Ice""]",arctibax,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
998,Baxcalibur,baxcalibur,9,"[""Dragon"",""Ice""]",baxcalibur,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
999,Gimmighoul,gimmighoul,9,"[""Ghost""]",gimmighoul,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1000,Gholdengo,gholdengo,9,"[""Steel"",""Ghost""]",gholdengo,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1001,Wo-Chien,wochien,9,"[""Dark"",""Grass""]",wo-chien,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1002,Chien-Pao,chienpao,9,"[""Dark"",""Ice""]",chien-pao,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1003,Ting-Lu,tinglu,9,"[""Dark"",""Ground""]",ting-lu,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1004,Chi-Yu,chiyu,9,"[""Dark"",""Fire""]",chi-yu,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1005,Roaring Moon,roaringmoon,9,"[""Dragon"",""Dark""]",roaring-moon,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1006,Iron Valiant,ironvaliant,9,"[""Fairy"",""Fighting""]",iron-valiant,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1007,Koraidon,koraidon,9,"[""Fighting"",""Dragon""]",koraidon,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1008,Miraidon,miraidon,9,"[""Electric"",""Dragon""]",miraidon,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1009,Walking Wake,walkingwake,9,"[""Water"",""Dragon""]",walking-wake,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1010,Iron Leaves,ironleaves,9,"[""Grass"",""Psychic""]",iron-leaves,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1011,Dipplin,dipplin,9,"[""Grass"",""Dragon""]",dipplin,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1012,Poltchageist,poltchageist,9,"[""Grass"",""Ghost""]",poltchageist,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1013,Sinistcha,sinistcha,9,"[""Grass"",""Ghost""]",sinistcha,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1014,Okidogi,okidogi,9,"[""Poison"",""Fighting""]",okidogi,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1015,Munkidori,munkidori,9,"[""Poison"",""Psychic""]",munkidori,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1016,Fezandipiti,fezandipiti,9,"[""Poison"",""Fairy""]",fezandipiti,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1017,Ogerpon,ogerpon,9,"[""Grass""]",ogerpon,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1018,Archaludon,archaludon,9,"[""Steel"",""Dragon""]",archaludon,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1019,Hydrapple,hydrapple,9,"[""Grass"",""Dragon""]",hydrapple,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1020,Gouging Fire,gougingfire,9,"[""Fire"",""Dragon""]",gouging-fire,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1021,Raging Bolt,ragingbolt,9,"[""Electric"",""Dragon""]",raging-bolt,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1022,Iron Boulder,ironboulder,9,"[""Rock"",""Psychic""]",iron-boulder,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1023,Iron Crown,ironcrown,9,"[""Steel"",""Psychic""]",iron-crown,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1024,Terapagos,terapagos,9,"[""Normal""]",terapagos,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
1025,Pecharunt,pecharunt,9,"[""Poison"",""Ghost""]",pecharunt,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
,Abomasnow,abomasnow,,"[""Grass"",""Ice""]",abomasnow,complete,True,"[""gen8""]",
,Abra,abra,,"[""Psychic""]",abra,complete,True,"[""gen8""]",
,Absol,absol,,"[""Dark""]",absol,complete,True,"[""gen8""]",
,Accelgor,accelgor,,"[""Bug""]",accelgor,complete,True,"[""gen8""]",
,Aegislash,aegislash,,"[""Steel"",""Ghost""]",aegislash,complete,True,"[""gen8""]",
,Aerodactyl,aerodactyl,,"[""Rock"",""Flying""]",aerodactyl,complete,True,"[""gen8""]",
,Aggron,aggron,,"[""Steel"",""Rock""]",aggron,complete,True,"[""gen8""]",
,Aipom,aipom,,"[""Normal""]",aipom,complete,True,"[""gen8""]",
,Alakazam,alakazam,,"[""Psychic""]",alakazam,complete,True,"[""gen8""]",
,Alcremie,alcremie,,"[""Fairy""]",alcremie,complete,True,"[""gen8""]",
,Alomomola,alomomola,,"[""Water""]",alomomola,complete,True,"[""gen8""]",
,Altaria,altaria,,"[""Dragon"",""Flying""]",altaria,complete,True,"[""gen8""]",
,Amaura,amaura,,"[""Rock"",""Ice""]",amaura,complete,True,"[""gen8""]",
,Ambipom,ambipom,,"[""Normal""]",ambipom,complete,True,"[""gen8""]",
,Amoonguss,amoonguss,,"[""Grass"",""Poison""]",amoonguss,complete,True,"[""gen8""]",
,Ampharos,ampharos,,"[""Electric""]",ampharos,complete,True,"[""gen8""]",
,Anorith,anorith,,"[""Rock"",""Bug""]",anorith,complete,True,"[""gen8""]",
,Appletun,appletun,,"[""Grass"",""Dragon""]",appletun,complete,True,"[""gen8""]",
,Applin,applin,,"[""Grass"",""Dragon""]",applin,complete,True,"[""gen8""]",
,Araquanid,araquanid,,"[""Water"",""Bug""]",araquanid,complete,True,"[""gen8""]",
,Arbok,arbok,,"[""Poison""]",arbok,complete,True,"[""gen8""]",
,Arcanine,arcanine,,"[""Fire""]",arcanine,complete,True,"[""gen8""]",
,Arceus,arceus,,"[""Normal""]",arceus,complete,True,"[""gen8""]",
,Archen,archen,,"[""Rock"",""Flying""]",archen,complete,True,"[""gen8""]",
,Archeops,archeops,,"[""Rock"",""Flying""]",archeops,complete,True,"[""gen8""]",
,Arctovish,arctovish,,"[""Water"",""Ice""]",arctovish,complete,True,"[""gen8""]",
,Arctozolt,arctozolt,,"[""Electric"",""Ice""]",arctozolt,complete,True,"[""gen8""]",
,Ariados,ariados,,"[""Bug"",""Poison""]",ariados,complete,True,"[""gen8""]",
,Armaldo,armaldo,,"[""Rock"",""Bug""]",armaldo,complete,True,"[""gen8""]",
,Aromatisse,aromatisse,,"[""Fairy""]",aromatisse,complete,True,"[""gen8""]",
,Aron,aron,,"[""Steel"",""Rock""]",aron,complete,True,"[""gen8""]",
,Arrokuda,arrokuda,,"[""Water""]",arrokuda,complete,True,"[""gen8""]",
,Articuno,articuno,,"[""Ice"",""Flying""]",articuno,complete,True,"[""gen8""]",
,Audino,audino,,"[""Normal""]",audino,complete,True,"[""gen8""]",
,Aurorus,aurorus,,"[""Rock"",""Ice""]",aurorus,complete,True,"[""gen8""]",
,Avalugg,avalugg,,"[""Ice""]",avalugg,complete,True,"[""gen8""]",
,Axew,axew,,"[""Dragon""]",axew,complete,True,"[""gen8""]",
,Azelf,azelf,,"[""Psychic""]",azelf,complete,True,"[""gen8""]",
,Azumarill,azumarill,,"[""Water"",""Fairy""]",azumarill,complete,True,"[""gen8""]",
,Azurill,azurill,,"[""Normal"",""Fairy""]",azurill,complete,True,"[""gen8""]",
,Bagon,bagon,,"[""Dragon""]",bagon,complete,True,"[""gen8""]",
,Baltoy,baltoy,,"[""Ground"",""Psychic""]",baltoy,complete,True,"[""gen8""]",
,Banette,banette,,"[""Ghost""]",banette,complete,True,"[""gen8""]",
,Barbaracle,barbaracle,,"[""Rock"",""Water""]",barbaracle,complete,True,"[""gen8""]",
,Barboach,barboach,,"[""Water"",""Ground""]",barboach,complete,True,"[""gen8""]",
,Barraskewda,barraskewda,,"[""Water""]",barraskewda,complete,True,"[""gen8""]",
,Basculin,basculin,,"[""Water""]",basculin,complete,True,"[""gen8""]",
,Bastiodon,bastiodon,,"[""Rock"",""Steel""]",bastiodon,complete,True,"[""gen8""]",
,Bayleef,bayleef,,"[""Grass""]",bayleef,complete,True,"[""gen8""]",
,Beartic,beartic,,"[""Ice""]",beartic,complete,True,"[""gen8""]",
,Beautifly,beautifly,,"[""Bug"",""Flying""]",beautifly,complete,True,"[""gen8""]",
,Beedrill,beedrill,,"[""Bug"",""Poison""]",beedrill,complete,True,"[""gen8""]",
,Beheeyem,beheeyem,,"[""Psychic""]",beheeyem,complete,True,"[""gen8""]",
,Beldum,beldum,,"[""Steel"",""Psychic""]",beldum,complete,True,"[""gen8""]",
,Bellossom,bellossom,,"[""Grass""]",bellossom,complete,True,"[""gen8""]",
,Bellsprout,bellsprout,,"[""Grass"",""Poison""]",bellsprout,complete,True,"[""gen8""]",
,Bergmite,bergmite,,"[""Ice""]",bergmite,complete,True,"[""gen8""]",
,Bewear,bewear,,"[""Normal"",""Fighting""]",bewear,complete,True,"[""gen8""]",
,Bibarel,bibarel,,"[""Normal"",""Water""]",bibarel,complete,True,"[""gen8""]",
,Bidoof,bidoof,,"[""Normal""]",bidoof,complete,True,"[""gen8""]",
,Binacle,binacle,,"[""Rock"",""Water""]",binacle,complete,True,"[""gen8""]",
,Bisharp,bisharp,,"[""Dark"",""Steel""]",bisharp,complete,True,"[""gen8""]",
,Blacephalon,blacephalon,,"[""Fire"",""Ghost""]",blacephalon,complete,True,"[""gen8""]",
,Blastoise,blastoise,,"[""Water""]",blastoise,complete,True,"[""gen8""]",
,Blaziken,blaziken,,"[""Fire"",""Fighting""]",blaziken,complete,True,"[""gen8""]",
,Blipbug,blipbug,,"[""Bug""]",blipbug,complete,True,"[""gen8""]",
,Blissey,blissey,,"[""Normal""]",blissey,complete,True,"[""gen8""]",
,Blitzle,blitzle,,"[""Electric""]",blitzle,complete,True,"[""gen8""]",
,Boldore,boldore,,"[""Rock""]",boldore,complete,True,"[""gen8""]",
,Boltund,boltund,,"[""Electric""]",boltund,complete,True,"[""gen8""]",
,Bonsly,bonsly,,"[""Rock""]",bonsly,complete,True,"[""gen8""]",
,Bouffalant,bouffalant,,"[""Normal""]",bouffalant,complete,True,"[""gen8""]",
,Bounsweet,bounsweet,,"[""Grass""]",bounsweet,complete,True,"[""gen8""]",
,Braixen,braixen,,"[""Fire""]",braixen,complete,True,"[""gen8""]",
,Braviary,braviary,,"[""Normal"",""Flying""]",braviary,complete,True,"[""gen8""]",
,Breloom,breloom,,"[""Grass"",""Fighting""]",breloom,complete,True,"[""gen8""]",
,Brionne,brionne,,"[""Water""]",brionne,complete,True,"[""gen8""]",
,Bronzong,bronzong,,"[""Steel"",""Psychic""]",bronzong,complete,True,"[""gen8""]",
,Bronzor,bronzor,,"[""Steel"",""Psychic""]",bronzor,complete,True,"[""gen8""]",
,Browt,browt,10,"[""Grass""]",browt,external_stub,False,"[""pokemon_winds_waves"",""bulbapedia_natdex_2026""]",unassigned_announced_species
,Bruxish,bruxish,,"[""Water"",""Psychic""]",bruxish,complete,True,"[""gen8""]",
,Budew,budew,,"[""Grass"",""Poison""]",budew,complete,True,"[""gen8""]",
,Buizel,buizel,,"[""Water""]",buizel,complete,True,"[""gen8""]",
,Bulbasaur,bulbasaur,,"[""Grass"",""Poison""]",bulbasaur,complete,True,"[""gen8""]",
,Buneary,buneary,,"[""Normal""]",buneary,complete,True,"[""gen8""]",
